1537447955335,48965,x,y,z
0,941,33,826,450
20,918,29,805,439
40,895,24,785,429
60,872,19,765,418
80,875,30,757,437
100,857,26,745,423
120,846,24,737,415
140,828,42,717,412
161,808,37,701,400
181,818,27,707,409
201,805,48,694,404
221,796,31,689,397
241,827,38,716,411
261,858,44,747,419
281,915,41,793,453
302,934,46,806,470
322,942,48,813,474
342,956,43,829,474
362,991,33,863,486
382,1008,41,878,493
402,1041,45,905,514
422,1095,42,949,545
443,1095,42,949,545
463,1063,58,917,534
483,1043,53,904,517
503,1021,48,893,493
523,1044,50,912,506
543,1043,58,904,516
563,1010,69,870,508
584,964,53,832,483
604,958,45,836,465
624,971,26,854,461
644,989,35,861,485
664,1015,52,870,520
684,1015,60,869,521
704,1017,52,880,507
725,1026,42,899,493
745,1049,37,919,505
765,1067,38,929,523
785,1063,48,920,531
805,1068,49,924,533
825,1031,57,896,507
845,1025,39,892,503
866,1011,42,882,492
886,1000,42,874,483
906,1016,19,888,492
926,1006,43,873,497
946,998,40,865,497
966,991,44,864,483
986,1029,35,906,486
1007,1044,44,923,485
1027,1084,50,955,508
1047,1124,28,987,536
1067,1149,39,1004,556
1087,1191,12,1049,563
1107,1216,15,1072,573
1127,1243,14,1094,589
1148,1238,25,1093,580
1168,1271,24,1124,591
1188,1282,19,1138,589
1208,1304,3,1159,597
1228,1307,25,1162,598
1248,1330,1,1183,607
1268,1338,-1,1189,614
1289,1357,12,1207,620
1309,1372,-10,1225,619
1329,1400,-7,1247,636
1349,1425,-22,1271,644
1369,1444,-23,1288,651
1389,1493,-50,1336,664
1409,1516,-45,1358,673
1430,1516,-45,1358,673
1450,1523,-39,1365,675
1470,1549,-45,1397,669
1490,1599,-52,1441,689
1510,1644,-50,1481,711
1530,1695,-72,1519,748
1550,1711,-60,1535,754
1571,1726,-66,1551,756
1591,1743,-79,1569,756
1611,1732,-71,1562,744
1631,1724,-61,1553,746
1651,1725,-77,1552,749
1671,1705,-53,1536,739
1691,1688,-77,1522,726
1712,1667,-81,1503,716
1732,1623,-74,1466,692
1752,1573,-73,1420,672
1772,1550,-88,1397,665
1792,1457,-58,1317,621
1812,1414,-62,1275,608
1832,1388,-45,1254,593
1853,1329,-66,1197,572
1873,1299,-66,1165,569
1893,1260,-68,1133,547
1913,1221,-71,1103,519
1933,1174,-56,1066,490
1953,1129,-59,1028,462
1973,1105,-54,1009,448
1994,1101,-62,1002,452
2014,1088,-57,987,454
2034,1079,-52,974,461
2054,1076,-69,971,459
2074,1063,-56,967,437
2094,1060,-66,966,431
2114,1053,-56,954,441
2135,1009,-55,915,421
2155,990,-47,899,412
2175,991,-65,902,405
2195,975,-53,893,386
2215,979,-41,896,392
2235,980,-58,893,398
2255,975,-31,890,396
2276,952,-34,870,385
2296,960,-56,874,392
2316,944,-29,863,381
2336,944,-29,863,381
2356,940,-51,855,387
2376,918,-37,834,381
2396,911,-37,829,376
2416,901,-35,820,371
2437,889,-35,809,367
2457,890,-17,810,368
2477,890,-17,810,368
2497,880,-17,803,360
2517,879,-10,805,352
2537,886,-4,814,349
2557,882,-7,808,353
2578,873,-13,799,352
2598,852,0,779,345
2618,831,7,759,337
2638,817,11,752,318
2658,817,11,752,318
2678,828,20,760,328
2698,841,17,765,349
2719,833,22,755,350
2739,808,25,735,333
2759,795,6,726,322
2779,811,12,742,326
2799,822,28,749,339
2819,833,30,753,354
2839,843,38,761,359
2860,852,35,775,351
2880,876,19,799,359
2900,896,34,813,374
2920,922,30,833,394
2940,945,26,850,411
2960,972,31,876,420
2980,1006,29,907,434
3001,1030,23,928,444
3021,1046,21,939,460
3041,1070,25,960,472
3061,1095,19,985,478
3081,1113,32,1001,485
3101,1115,23,1002,486
3121,1117,36,1006,485
3142,1138,24,1024,495
3162,1176,15,1059,511
3182,1214,9,1093,527
3202,1254,8,1124,556
3222,1285,21,1145,582
3242,1278,27,1140,576
3262,1275,29,1140,571
3283,1298,15,1165,571
3303,1293,14,1161,569
3323,1273,34,1137,571
3343,1238,30,1105,556
3363,1199,29,1073,535
3383,1185,30,1065,519
3403,1161,22,1044,507
3424,1128,32,1011,500
3444,1108,37,991,493
3464,1098,36,987,479
3484,1088,37,980,471
3504,1086,25,976,476
3524,1068,26,954,480
3544,1057,16,945,473
3565,1049,31,940,465
3585,1052,21,945,461
3605,1047,29,940,458
3625,1025,42,921,449
3645,1009,37,908,439
3665,1010,29,911,436
3685,1010,29,911,436
3706,994,29,893,437
3726,986,23,881,442
3746,972,21,872,429
3766,978,17,879,426
3786,980,11,882,427
3806,973,14,871,433
3826,967,20,863,436
3847,954,26,854,424
3867,958,13,863,416
3887,958,13,863,416
3907,947,25,850,415
3927,926,25,832,404
3947,931,26,836,409
3967,930,18,839,401
3988,927,15,834,403
4008,917,26,822,406
4028,898,17,806,397
4048,887,8,794,394
4068,880,16,793,382
4088,877,12,792,375
4108,895,17,805,391
4129,884,25,794,386
4149,884,25,794,386
4169,895,32,806,386
4189,881,16,796,376
4209,872,24,786,376
4229,874,37,788,376
4249,894,7,806,386
4270,898,34,804,398
4290,885,34,790,396
4310,882,28,791,390
4330,890,15,803,384
4350,896,25,806,392
4370,896,28,802,397
4390,884,32,789,396
4411,882,43,790,390
4431,873,31,787,374
4451,889,27,800,385
4471,886,50,791,396
4491,914,7,817,408
4511,876,37,786,385
4531,871,21,782,383
4552,873,27,789,373
4572,864,44,779,371
4592,888,34,798,387
4612,890,50,800,387
4632,894,38,802,392
4652,927,27,831,408
4672,930,32,834,411
4692,915,39,820,402
4713,916,33,824,398
4733,941,25,851,402
4753,960,29,865,414
4773,979,44,877,434
4793,980,17,875,441
4813,963,38,862,427
4833,962,36,870,408
4854,964,16,873,409
4874,965,40,868,419
4894,947,44,849,416
4914,940,32,842,415
4934,924,40,834,397
4954,920,11,834,387
4974,928,29,838,397
4995,915,33,824,395
5015,909,37,819,391
5035,932,30,842,397
5055,941,41,852,396
5075,957,35,865,407
5095,971,40,874,422
5115,969,34,876,412
5136,969,34,876,412
5156,978,36,886,412
5176,978,36,886,412
5196,984,44,885,427
5216,975,38,880,418
5236,973,27,880,414
5256,971,25,882,404
5277,975,37,884,410
5297,959,40,866,409
5317,927,36,838,394
5337,890,48,811,365
5357,877,35,802,353
5377,879,28,804,352
5397,879,37,800,360
5418,875,38,792,370
5438,844,26,767,351
5458,834,21,762,338
5478,844,14,773,338
5498,844,14,773,338
5518,830,33,757,336
5538,841,38,769,339
5559,861,25,793,334
5579,871,42,798,345
5599,891,20,816,357
5619,901,34,824,362
5639,931,17,852,373
