Time,other,x,y,z
0,1026,-24,752,698
20,1037,13,721,745
40,1056,43,709,780
60,968,17,625,740
80,924,31,606,696
100,919,17,616,681
120,996,4,699,709
140,979,-7,711,673
161,902,-16,671,602
181,853,-46,660,539
201,850,-64,673,515
221,903,-54,700,567
241,931,-39,684,629
261,936,-24,654,668
281,876,-53,657,576
302,870,-90,693,517
322,863,-65,693,510
342,882,-64,700,533
362,832,-73,632,536
382,787,-14,523,588
402,829,95,558,605
422,925,80,602,698
443,1032,134,651,790
463,996,104,692,709
483,928,62,695,611
503,868,30,683,533
523,867,33,701,508
543,962,22,786,555
563,960,135,846,433
584,1022,253,773,620
604,994,254,658,700
624,1021,207,772,636
644,1000,33,811,584
664,950,-62,739,594
684,940,-31,705,621
704,948,13,731,604
725,972,71,718,650
745,1129,25,734,858
765,1143,61,733,875
785,1125,105,687,885
805,1102,71,730,821
825,1065,-5,728,777
845,1072,-57,726,787
866,1058,-4,703,791
886,1041,15,695,775
906,1096,12,701,841
926,1101,-27,720,832
946,1070,-14,715,795
966,1047,-13,700,778
986,1037,-47,684,778
1007,1051,-58,675,804
1027,1064,-24,677,820
1047,1073,-7,678,832
1067,1046,-20,680,794
1087,1023,-29,675,768
1107,1064,-14,679,819
1127,1077,17,673,840
1148,1007,-26,651,768
1168,972,-27,646,725
1188,1018,-43,650,782
1208,991,35,642,754
1228,1019,21,691,748
1248,967,28,681,685
1268,962,11,682,678
1289,981,47,684,701
1309,1013,73,730,699
1329,996,98,736,663
1349,975,109,721,646
1369,966,90,709,650
1389,981,37,725,660
1409,1004,23,741,677
1430,951,40,733,605
1450,933,63,734,572
1470,933,53,728,581
1490,966,44,740,618
1510,1008,21,761,660
1530,1021,6,779,659
1550,978,-17,746,631
1571,953,-13,698,649
1591,999,-17,722,690
1611,1012,-6,731,699
1631,987,20,728,665
1651,951,8,742,594
1671,957,-22,736,611
1691,969,-11,727,639
1712,1017,8,754,681
1732,999,27,755,653
1752,998,-6,769,635
1772,945,-12,739,589
1792,913,3,721,560
1812,961,5,754,594
1832,1007,20,771,647
1853,1055,13,809,676
1873,1068,13,833,668
1893,1044,-6,821,644
1913,1067,-43,814,688
1933,1098,-62,813,736
1953,1124,-45,817,770
1973,1124,-51,765,822
1994,1141,-51,739,868
2014,1134,-65,735,861
2034,1089,-51,734,802
2054,1055,-37,729,761
2074,1049,-28,732,750
2094,1076,-37,747,773
2114,1106,-38,770,793
2135,1096,-51,774,774
2155,1081,-47,763,765
2175,1098,-44,759,791
2195,1103,-44,744,813
